date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2021-06-05,69,83,59,49,90,60,67,43,32340,28590,3750,4470,20880,3240,35,88,180,15990,,2021-06-05T00:26:08+02:00,2021-06-05T09:25:08+02:00,60.32,54,52,-0.21,17.125,92,66,100,95,100,91,100,314,2456,450,6878,5502,618,458,359,5,0,0,1.40625,0,78,67,77,95,89,98,71,91,58
2021-06-06,60,60,61,44,86,66,72,26,26400,22740,3660,4650,15150,2940,32,86,300,12300,,2021-06-06T02:01:53+02:00,2021-06-06T09:21:53+02:00,57.67,52,72,-0.26,16.5,83,61,100,78,96,66,100,216,2327,450,4634,3436,657,530,246,7,0,0,1.3125,0,80,52,74,97,93,96,96,94,59
2021-06-07,60,47,35,45,79,73,86,80,23160,19140,4020,2760,13410,2970,25,83,570,10680,,2021-06-07T00:40:54+02:00,2021-06-07T07:06:54+02:00,55.56,49,49,-0.1,17.625,71,40,95,60,71,56,100,300,2476,450,5937,5121,850,331,237,22,0,0,1.4375,1,78,52,67,99,98,100,100,91,50
2021-06-08,64,57,58,49,93,76,72,58,24540,21960,2580,4440,14310,3210,34,89,1470,12900,,2021-06-08T00:47:43+02:00,2021-06-08T07:36:43+02:00,54.07,49,76,-0.43,15.625,81,100,78,60,71,74,100,488,2647,450,9937,9125,720,423,233,60,4,0,1.5,2,77,58,63,85,99,90,100,95,48
2021-06-09,51,32,8,56,69,69,81,83,19380,15300,4080,570,11010,3720,35,79,480,10050,,2021-06-09T00:44:33+02:00,2021-06-09T06:07:33+02:00,64.21,54,54,-0.46,16.75,74,61,95,60,40,74,100,294,2454,250,6458,5046,657,402,258,23,0,100,1.40625,1,62,37,50,81,100,89,62,93,27
2021-06-10,72,73,79,77,55,54,89,79,35400,25980,9420,6000,14940,5040,41,73,1140,17280,,2021-06-09T22:52:59+02:00,2021-06-10T08:42:59+02:00,60.26,51,58,-0.35,17,66,45,95,43,40,70,100,225,2373,450,5111,3653,763,434,230,13,0,0,1.34375,1,78,72,52,94,97,93,95,93,72
2021-06-11,56,47,26,53,96,65,89,39,21300,19350,1950,2010,13830,3510,34,91,630,10650,,2021-06-11T02:02:01+02:00,2021-06-11T07:57:01+02:00,53.33,48,79,0.22,18.125,76,78,100,60,40,71,100,521,2741,300,10218,9479,524,414,475,27,0,0,1.5625,0,69,45,47,92,94,86,99,96,28
2021-06-12,52,34,1,73,93,55,70,87,17700,15840,1860,30,11040,4770,45,89,210,8430,,2021-06-12T01:04:58+02:00,2021-06-12T05:59:58+02:00,60.38,54,55,-0.55,19.5,88,81,95,78,71,96,100,809,3025,250,19834,15728,669,348,288,134,1,0,1.71875,1,60,38,37,93,97,86,46,94,54
2021-06-13,82,90,78,98,97,67,83,49,33360,30600,2760,5940,16830,7830,31,92,510,16380,,2021-06-13T00:06:58+02:00,2021-06-13T09:22:58+02:00,57.58,47,67,0.03,16.375,80,48,78,78,71,96,98,166,2290,450,3755,2510,768,459,186,7,0,20,1.3125,2,83,88,48,74,94,100,91,95,100
2021-06-14,67,57,56,98,99,70,70,45,23100,21750,1350,4230,9510,8010,30,94,210,11370,,2021-06-14T01:38:02+02:00,2021-06-14T08:03:02+02:00,55.14,48,56,0.01,17.625,85,64,100,78,71,95,100,370,2591,450,8118,6248,639,385,400,15,1,0,1.46875,0,77,63,48,93,96,100,100,94,73
